"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"June",1995,-3645.16129032258,-4464.28571428572,-4018.10318134108,-3666.55545553013,-1475.06056103459,-4692.29109239996,-6974.60317255471,-9870.77712298176,-10526.4913902459,-9639.49318695967,-9868.31016195315,-5290.32258064516
"June",1996,-4516.12903225807,-3495.52019704527,-4550,-4130,-4134.62268695343,-4505,-11016.4950404905,-10994.1499503734,-11113.9168760873,-9447.6376085466,-8353.70354505709,-4980.99111973054
"June",1997,21987.9168650427,1510.18649641029,-3650,-3477.81171298768,-4044.8710339601,-4505,-10754.1037567434,-11084.1357155639,-11087.1035128422,-9663.15454348682,-8884.15378678534,-9882.0668422018
"June",1998,-3645.16129032258,2742.02276773978,-2431.94548838331,-2406.97802825702,-1477.39836640535,-3261.2951845946,-6616.52455255528,-8821.79048275014,-9525.99722392028,-8631.70354970747,-8690.04623952791,-5290.32258064516
"June",1999,-4516.12903225806,-4223.21428571428,-3650,-3457.73828738652,-4010.46469275254,-4505,-11117.5718229994,-11227.9448870735,-11093.2833267785,-9576.97230247455,-9389.921862209,-3962.43562582166
"June",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-10165.6440769116,-9810.99632943238,-7598.34347884244,-9131.01115256932,-6837.97398872857,-3258.21219753592
"June",2001,-4745,-3580.35714285714,-3905,-2075.96120359161,-3008.27699756895,-4400,-8057.05308129067,-5444.13380507949,-5365.55317354106,-4670.00594271693,-6013.99498202239,-5290.32258064516
"June",2002,-3875.96774193548,-4030.35714285714,-3500,-2679.90079477104,-2697.58047257191,-4400,-11289.114376458,-5765.0313301883,-5797.40765708148,-5039.68291885326,-5876.37877625382,-5290.32258064516
"June",2003,-3875.96774193548,-3741.07142857143,-3500,-2550.42724533677,-3402.94367315779,-4490,-11100.1755582569,-10576.6178243301,-11289.5934877725,-9751.50137080697,-5722.86632575201,-5290.32258064516
"June",2004,-4343.38709677419,-4187.93103448276,-3575,-2772.53033523413,-2733.11516630325,-4475,-11264.6775541224,-11156.9939369868,-6841.13183062171,-7473.18597092523,-6514.07906410222,-5290.32258064516
"June",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9744.66240168452,-10653.1926445097,-10341.8866445365,-9282.78120529754,-9500.46468815303,-5290.32258064516
"June",2006,-3501.84335156946,-4464.28571428571,-819.053106725347,1949.18904502927,1196.84377191217,-4467.24597874299,-9659.96354717233,-9977.02147202967,-9951.70923907869,-9261.05670091649,-9307.94965966278,-9499.7128724433
"June",2007,-5000,-3625.89285714286,-3500,-2450.69271092674,-2759.76593125201,-4400,-11511.820728278,-5777.16803394045,-7306.07767026393,-6496.63594877934,-5927.99380132688,-3811.6110498121
"June",2008,-3126.93548387097,-4040.51724137931,-2774.40507075785,-2386.88010853916,-2498.98630803592,-3629.65060416658,-4004.18614923297,-3109.75382175059,-4480.44545013051,-3564.54559128793,-3180.49408581112,-2215.01824836194
"June",2009,-2973.69330022449,-3808.03571428571,-3905,-2790.87999578067,-2982.22711531484,-4400,-6141.51182538519,-5291.28156296416,-6300.78973667758,-5393.60049603911,-3835.29133268206,-3772.3004111695
"June",2010,-3126.93548387097,-4030.35714285714,-3905,-3525.46920362894,-3626.99889469796,-4475,-10624.7385650939,-11452.1220396038,-8806.54686856494,-9193.74875041788,-9211.0601281199,-5290.32258064516
"June",2011,-4363.70967741936,-4111.34427742465,2139.46345599153,-3742.35477811162,-4776.23509563625,-3666.45210188441,-8063.39396948903,-9118.39369552646,-9721.02987169965,-8709.92942144841,-9099.85505440394,-6818.29570535062
"June",2012,-5000,-4250,-3905,-2741.96993385948,-3156.43665785861,-4475,-10926.3303238009,-10729.6457724936,-6499.39773253254,-6045.42877981279,-7317.97868049069,-5290.32258064516
"June",2013,-4775,-3521.01014939216,-3500,-2003.73355685744,-2936.31591537034,-4400,-11023.0250196215,-5578.60321159616,-5271.71727932597,-1424.3854312163,-3458.79798131177,-2556.07319587058
"June",2014,-764.173389463611,-4625,-4325,-1599.63191833255,-1818.77216965888,-1563.27228276006,-1659.9907611123,-1409.86484814149,-3075.26852417168,-2176.84533430592,-1177.89837124073,-5290.32258064516
"MaxDS_Even",1995,-3645.16129032258,-4464.28571428572,-3781.43359142825,-3727.52162132672,-1416.35836786318,-4607.6757228,-6971.46623226358,-9881.76167685674,-10538.3865379238,-1987.57093486919,-9883.08244475196,-5290.32258064516
"MaxDS_Even",1996,-4516.12903225806,-4231.53757052608,-4550,-4130,-4126.93833689095,-4505,-10392.1235072195,-8961.17659131653,-4976.42323440237,-3684.09135208819,-8365.84246723205,-5098.59391738708
"MaxDS_Even",1997,19314.7548875645,-3755.88352517266,-3650,-3461.104422889,-4033.84357575665,-3305.34149052022,-10774.296328246,-5167.0469232022,-6916.93080512532,-2918.08437929395,-8597.99412277929,-9886.00628008335
"MaxDS_Even",1998,-3645.16129032258,2687.14650300659,-4550,-2450.23324088777,-1516.76664492927,-3299.26151483504,-6638.99213092674,-8835.04830626381,-9536.31035554349,-8153.88634165157,-8701.36042370542,-5290.32258064516
"MaxDS_Even",1999,-4516.12903225806,-4223.21428571428,-3650,-3451.29492363739,-4005.34428193678,-4505,-10790.8522573322,-9048.21110614263,-4604.34931966873,-4276.88508857288,-8558.31123824423,-8782.58757673852
"MaxDS_Even",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-9700.64686506828,-7737.74018551379,-4840.81961311804,-2549.16025515226,-7887.32889365969,-5020.26722203443
"MaxDS_Even",2001,-4745,-3580.35714285714,-3905,-1610.17901409156,-2516.20792530724,-3215.72672280661,-5043.72789669567,-4156.81658692441,-4833.83759507293,-4413.31754774601,-5612.36880336226,-5290.32258064516
"MaxDS_Even",2002,-3875.96774193548,-4030.35714285714,-3500,-2674.38408946315,-2798.85270262111,-4400,-7794.92083324721,-5534.94285654147,-5795.53472272493,-5183.86740652428,-5719.58953878107,-5290.32258064516
"MaxDS_Even",2003,-3875.96774193548,-3741.07142857143,-3500,-2543.47085605771,-3397.96308806708,-4490,-10690.1543260797,-8977.85874693652,-7399.85481346263,-3120.76039176314,-7735.52230626746,-5290.32258064516
"MaxDS_Even",2004,-4343.38709677419,-4187.93103448276,-3575,-2761.43778701625,-2716.27174567701,-4475,-11298.5229306034,-11683.7525438156,-6249.45571481758,-6725.86309951911,-5910.28783805945,-5290.32258064516
"MaxDS_Even",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9754.39667830356,-10776.0104411313,-10351.9549191269,-9437.71648453862,-9510.81941031316,-5290.32258064516
"MaxDS_Even",2006,-4314.48686714094,-4464.28571428571,-647.598016717449,1907.12981220803,1154.29807761633,-4496.52190206607,-7618.45248658847,-6394.73765795908,-4502.38904352909,-1641.73305687998,-9316.15265562807,-9936.49154968106
"MaxDS_Even",2007,-5000,-3625.89285714286,-3500,-2436.99896952485,-2737.45746061012,-4400,-11710.8380699635,-5582.33478581456,-5344.64654325458,-4628.61201762646,-3262.97555563856,-3147.22827247496
